"6000,STAR WARS™ Republic Commando™,2009-07-08,game,false,LucasArts,""LucasArts, Lucasfilm, Disney"",9.99,1000000,2000000,29,1,4";;;
"6010,Indiana Jones® and the Fate of Atlantis™,2009-07-08,game,false,LucasArts,""LucasArts, Lucasfilm, Disney"",5.99,200000,500000,16,1,1";;;
"6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009-09-16,game,false,Raven Software,""LucasArts, Lucasfilm, Disney"",9.99,1000000,2000000,74,1,4";;;
"6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,,game,false,Raven Software,""LucasArts, Lucasfilm, Disney"",9.99,500000,1000000,32,1,5";;;
6040,The Dig®,2009-07-08,game,false,LucasArts,LucasArts,5.99,100000,200000,1,1,5;;;
"6060,""STAR WARS™ Battlefront II (Classic, 2005)"",,game,false,Pandemic Studios,""Lucasfilm, LucasArts, Disney"",9.99,5000000,10000000,175,1,1";;;
6080,Thrillville®: Off the Rails™,2009-07-08,game,false,Frontier,LucasArts,9.99,50000,100000,2,5,5;;;
"6090,Armed and Dangerous®,2009-07-08,game,false,Planet Moon Studios,""LucasArts, Lucasfilm, Disney"",5.99,20000,50000,1,1,5";;;
6120,Shank,2010-10-25,game,false,Klei Entertainment,Klei Entertainment,9.99,200000,500000,8,2,1;;;
6130,Shank Demo,2010-10-26,demo,true,Klei Entertainment,Electronic Arts,0.0,0,20000,1,2,0;;;
6200,Ghost Master®,2006-12-21,game,false,Sick Puppies,Strategy First,4.99,100000,200000,7,1,4;;;
6210,Vegas: Make It Big™,2006-12-21,game,false,Deepred,Strategy First,4.99,20000,50000,1,1,1;;;
